Language,Form,Gloss,Gloss_Fixed,Source,Form_ID_v1.2
Isneg,rabóŋ,"the young, edible shoot of the <span class=""wd"">kawayan</span>  (spiny bamboo)","the young, edible shoot of the _kawayan_ (spiny bamboo)",,647-d3a600c4aa722dad8bbedd1ceb8a39a6-1
Hanunóo,-um-,"active verb infix, generally intransitive, and often with a future meaning (e.g. <span class=""wd"">l-um-aŋúy</span> 'to swim; will swim', <span class=""wd"">t-um-índas</span> 'to kick; will kick')","active verb infix, generally intransitive, and often with a future meaning (e.g. _l-um-aŋúy_ 'to swim; will swim', _t-um-índas_ 'to kick; will kick')",,273-4724903fd93c2e90cc2a55e8528a77f3-1
Cebuano,alimúʔus,"invisible (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Encarnación"">Encarnación 1885</a></span>)",invisible ([Encarnación 1885](Source#cldf:encarnacion1885)),encarnacion1885,252-4c4999ac17adcef1a5a75fab71e5c857-1
Thao,pi-,"causative of location; <span class=""wd"">pi-nay</span> ‘put something here’, <span class=""wd"">pi-lhilhi</span> ‘help someone who has fallen get up’","causative of location; _pi-nay_ ‘put something here’, _pi-lhilhi_ ‘help someone who has fallen get up’",,1062-2e48fa306de4b3824416ebe487a70a79-1
Lun_Dayeh,ke-lebha,"pants or <span class=""wd"">tekip</span> (skirt, blouse) drop  down","pants or _tekip_ (skirt, blouse) drop down",,19418-ec8a25edcc1111110075790622a6ad14-1
Balinese,hatus,"hundred (occurs only in compounds, as <span class=""wd"">telu-ŋ-hatus</span> ‘300’)","hundred (occurs only in compounds, as _telu-ŋ-hatus_ ‘300’)",,235-17d982bd80fe5f6df3af28b0df170668-1
Bikol,ián,"that, those (nearer than <span class=""wd"">itó</span>)","that, those (nearer than _itó_)",,244-8979084ac833f7223ab113c29fb3c3f4-1
Iban,bagi,"share, part; divide, distinguish; divide <span class=""wd"">bilik</span> property after a death and allot the shares equally to the survivors","share, part; divide, distinguish; divide _bilik_ property after a death and allot the shares equally to the survivors",,276-39f10dffec384a6b6a47352b8cbed76e-1
Adonara,kaka,"elder sibling (same sex?; <span class=""bib""><a class=""bib"" href=""acd-bib.htm#Lebar"">Lebar 1972:93</a></span>)",elder sibling (same sex?; [Lebar 1972:93](Source#cldf:lebar1972)),lebar1972[93],464-11e52e2340e99b7c3d126b610e5280ba-1
Ngaju_Dayak,biñi,"seed rice, rice used for planting (used only of rice, for other crops: <span class=""wd"">tumbon</span>)","seed rice, rice used for planting (used only of rice, for other crops: _tumbon_)",,18577-a3447382efc546cb6cacd2ea952918db-1
Belait,siwa,"nine (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Ray"">Ray 1913</a></span>)",nine ([Ray 1913](Source#cldf:ray1913)),ray1913,527-c785e1ed2950e3e36b1e2ca01f299a54-1
Kadazan_Dusun,kuam,"sickness of the tongue of buffalo calf (medical name is “stomatitis or thrush”, in humans the condition is known as <span class=""wd"">sovohok</span>)","sickness of the tongue of buffalo calf (medical name is “stomatitis or thrush”, in humans the condition is known as _sovohok_)",,287-0db5104943b3a098c6540815ea8079df-1
Malagasy,ni,"article (<span class=""wd"">ni andro</span> ‘the weather’, <span class=""wd"">ni dite</span> ‘the tea’)","article (_ni andro_ ‘the weather’, _ni dite_ ‘the tea’)",,18432-50ee77e24d7f35f768362f3f66812763-1
Malagasy,híta máso,"clearly seen, seeing by oneself, undoubted, undisputed (<span class=""wd"">máso</span> = ‘the eye’)","clearly seen, seeing by oneself, undoubted, undisputed (_máso_ = ‘the eye’)",,18432-88b06d04b72b9162ffba70f4a58b72f0-1
Bagobo,lago,"a tree: <i>Myristica fatus</i> Houtt. (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Madulid"">Madulid 2001</a></span>)",a tree: _Myristica fatus_ Houtt. ([Madulid 2001](Source#cldf:madulid2001)),madulid2001,507-36967ebe7f12ef33e80ac2c72a042d8f-1
Iban,pun bilik,"senior living member of a <span class=""wd"">bilik</span> family",senior living member of a _bilik_ family,,276-1b90fe6f69943ae2965656b7d5c9b150-1
Karo_Batak,tuah,"blessing, prosperity, luck (compared to <span class=""wd"">mana</span> in the Pacific)","blessing, prosperity, luck (compared to _mana_ in the Pacific)",,18314-ca7f01fc7c3e691e1e228a663b8859d7-1
Pala,matua,"mother’s brother (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Milke"">Milke 1958</a></span>)",mother’s brother ([Milke 1958](Source#cldf:milke1958)),milke1958,19473-bd2b68a23c09c55c55afe1d2ad842420-1
Itbayaten,itik,"a sp. of fowl, duck (black, smaller than <span class=""wd"">paato</span>)","a sp. of fowl, duck (black, smaller than _paato_)",,282-a893410164514d333744c8c7d0f03999-1
Ibaloy,dólaŋ,"low table designed for use by those sitting on <span class=""wd"">shetmog</span> seats (low stools)",low table designed for use by those sitting on _shetmog_ seats (low stools),,19182-cba52c22151d398b7bff8f17fa35ad4e-1
Acehnese,bisan,"the relationship of persons whose children have intermarried (the <span class=""wd"">bisan</span> of the bride are thus the consanguineal kin of her husband)",the relationship of persons whose children have intermarried (the _bisan_ of the bride are thus the consanguineal kin of her husband),,225-9f3355b8426a11b20c10fd6d56422266-1
Tae',tumbiriŋ,"lie on one's side  (sub <span class=""wd"">biriŋ</span>)",lie on one's side (sub _biriŋ_),,18947-873460fb1d821ce51140c97a6900b7fe-1
Kelabit,tukəd,"prop, support stick used to hold open the cover of the <span class=""wd"">ikab</span> (opening in the longhouse roof for the entrance of light and for the exit of smoke from the cooking fire)","prop, support stick used to hold open the cover of the _ikab_ (opening in the longhouse roof for the entrance of light and for the exit of smoke from the cooking fire)",,299-ff680e06a5aaae1ff1e0803dff12f543-1
Bontok,salúp,"one <span class=""wd"">ganta</span> (three liters); any container, as a woven basket, which contains about one <span class=""wd"">ganta</span>","one _ganta_ (three liters); any container, as a woven basket, which contains about one _ganta_",,246-33c473c5104d2e86c23313ebc2225b76-1
Toqabaqita,maa-na qamali,"landing place for canoes on the seashore (<span class=""wd"">qamali</span> = ‘sea, ocean’)","landing place for canoes on the seashore (_qamali_ = ‘sea, ocean’)",,19197-416aae339295e2e4ed81eba70966e5b4-1
Minangkabau,ka-pataŋ,"yesterday (cp. <span class=""wd"">pataŋ</span> ‘evening’)",yesterday (cp. _pataŋ_ ‘evening’),,337-cbaf6985cead2e3e2026b555697315f2-1
Malay,ikan talaŋ,"horse mackerel: generic for large species of <i>Chorinemus</i>, the small or young being <span class=""wd"">seliap</span>","horse mackerel: generic for large species of _Chorinemus_, the small or young being _seliap_",,326-7652d2aaba0d7d3d26ce0ddd32c33cba-1
Makassarese,talaŋ-talaŋ,"middle growth stage of the <span class=""wd"">lari</span> (sea fish with five stripes)",middle growth stage of the _lari_ (sea fish with five stripes),,325-1f3bf61826c538b3c11182ef930b1cfa-1
Pazeh,sama binayu,"a plant, <i>Lactuca indica</i>, used to reduce fever (<span class=""wd"">binayu</span> = ‘mountain, forest’)","a plant, _Lactuca indica_, used to reduce fever (_binayu_ = ‘mountain, forest’)",,375-ab31e9cce8ed025c3934fb12fae6e887-1
Itbayaten,ayi-ʔi,"come near; just come! (cited under <span class=""wd"">ayi</span> ‘foot, leg, paw’","come near; just come! (cited under _ayi_ ‘foot, leg, paw’",,282-4b81154ff98d7a3fababe0a188d67501-1
Amis,ka-,"connective in negative word combinations where <span class=""wd"">ma-</span> would be used in a positive statement (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Fey"">Fey 1986:370</a></span>): <span class=""wd"">caay ka-fanaɁ kako</span> ‘I don’t know’ (cp. <span class=""wd"">ma-fanaɁ kako</span> ‘I know’)",connective in negative word combinations where _ma-_ would be used in a positive statement ([Fey 1986:370](Source#cldf:fey1986)): _caay ka-fanaɁ kako_ ‘I don’t know’ (cp. _ma-fanaɁ kako_ ‘I know’),fey1986[370],227-7626ac28cf1392d0505854a6aceab79c-1
Seediq,bua,"bubble, foam (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Tsuchida"">Tsuchida 1976:257</a></span>)","bubble, foam ([Tsuchida 1976:257](Source#cldf:tsuchida1976))",tsuchida1976[257],407-cde5a5dd16213862b4ce1562882ce198-1
Kwaio,lalifa,"centipede (taboo for many at Sinalagu; <span class=""wd"">ʔuʔuaula</span> is used instead)",centipede (taboo for many at Sinalagu; _ʔuʔuaula_ is used instead),,307-4e67c7c77f8969354046e94a0f64eec6-1
Bikol,táwo,"man, individual, person, human being, people, a creature (human) (REDUP <span class=""wd"">-um-</span>)","man, individual, person, human being, people, a creature (human) (REDUP _-um-_)",,244-8f34d42a95636eff38b9808fc51c02e2-1
Lau,mā-luma,"a porch (<span class=""wd"">luma</span> = ‘house’)",a porch (_luma_ = ‘house’),,313-b27ed543117a525e26f0c149f8f97d9e-1
Seediq,ma-hoyesh,"to sing (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Ferrell"">Ferrell 1969</a></span>)",to sing ([Ferrell 1969](Source#cldf:ferrell1969)),ferrell1969,407-d712c033d72fdd7ddcc81c3e0d3de2e5-1
Minangkabau,palak,"feel hot; <span class=""wd"">palak hati dan</span> I am annoyed",feel hot; _palak hati dan_ I am annoyed,,337-498afb13972139bf3593befeac5877d5-1
Malay,em-balau,"gum-lac; shellac; also solder, sealing wax and the material used for fixing the haft of a blade in the handle. Local <span class=""wd"">embalau</span> is a gummy substance deposited by the female <i>Coccus lacca</i> on the twigs of certain trees, but the best <span class=""wd"">embalau</span> is imported and its exact nature is not known","gum-lac; shellac; also solder, sealing wax and the material used for fixing the haft of a blade in the handle. Local _embalau_ is a gummy substance deposited by the female _Coccus lacca_ on the twigs of certain trees, but the best _embalau_ is imported and its exact nature is not known",,326-34e29500248ab2743d61d4ea0af6f0f8-1
Mori,me-pio-pio,"to peep, of chicks (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Esser"">Esser 1927:41</a></span>)","to peep, of chicks ([Esser 1927:41](Source#cldf:esser1927))",esser1927[41],859-7850f8a129562e42845d8f9943a0a3bd-1
Balinese,apa,"what?; <span class=""wd"">apa</span> is used as an 'empty' word at the beginning or end of a sentence to indicate that the sentence is a question",what?; _apa_ is used as an 'empty' word at the beginning or end of a sentence to indicate that the sentence is a question,,235-b61b4c962ab8a8b15c11256abe08b4cc-1
Isinay,banaw,"lake (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#McFarland"">McFarland 1977</a></span>)",lake ([McFarland 1977](Source#cldf:mcfarland1977)),mcfarland1977,646-97d986e2afa2c72986972e6433fbeaf9-1
Malagasy,imbo,"a strong and offensive odor, but less strong than <span class=""wd"">hantsina</span>","a strong and offensive odor, but less strong than _hantsina_",,18432-0705782676521e58f39bd6b09eb2f878-1
Bare'e,impo,"a tree: <i>Antiaris toxicaria</i> (<span class=""lg"">Malay</span> <span class=""wd"">ipoh</span>); poison from this tree, smeared on blowgun darts",a tree: _Antiaris toxicaria_ ([Malay](LanguageTable#cldf:),,236-c90472b55e82d4761d13b42a112b0cc5-1
Tetun,aman tuak,"grandfather, grand uncle (<span class=""wd"">aman</span> = ‘father’)","grandfather, grand uncle (_aman_ = ‘father’)",,1060-7ff4c8342b5cdc47f922dad0006e3789-1
Nukuoro,lalo ade,"solar plexus (considered the seat of feeling); <span class=""wd"">ade</span> = ‘liver’",solar plexus (considered the seat of feeling); _ade_ = ‘liver’,,363-c5675613eb13eef726d975764fe683e8-1
Kapingamarangi,lodo bagege,"weak-minded, weak-willed, cowardly (<span class=""wd"">bagege</span> = ‘weak, powerless’)","weak-minded, weak-willed, cowardly (_bagege_ = ‘weak, powerless’)",,292-51a00464b01975a2bd2f73c559db980a-1
Wolio,-aka,"suffix marking a phrase as subordinate; verbal suffix indicating a relation with an object (e.g. <span class=""wd"">unda</span> ‘to agree’ : <span class=""wd"">unda-aka</span> ‘to approve of’, <span class=""wd"">potawa</span> ‘to laugh’ : <span class=""wd"">potowa-aka</span> ‘to laugh at’, <span class=""wd"">taŋi</span> ‘to weep’ : <span class=""wd"">taŋi-aka</span> ‘to bewail, weep for s.o.’)","suffix marking a phrase as subordinate; verbal suffix indicating a relation with an object (e.g. _unda_ ‘to agree’ : _unda-aka_ ‘to approve of’, _potawa_ ‘to laugh’ : _potowa-aka_ ‘to laugh at’, _taŋi_ ‘to weep’ : _taŋi-aka_ ‘to bewail, weep for s.o.’)",,1124-599b6ccf4e076ba81850a08111e425ca-1
Casiguran_Dumagat,umá,"swidden, <span class=""wd"">kainging</span>, field, farm, plantation, homestead (after it has been cleared, and has crops growing on it)","swidden, _kainging_, field, farm, plantation, homestead (after it has been cleared, and has crops growing on it)",,569-44b4a1ae593a464b655705d3a47d66e8-1
Kapampangan,-ku,"short form of <span class=""wd"">áku</span>, ‘I’","short form of _áku_, ‘I’",,291-fc9f19720c66c217f9719cd6626a281b-1
Ifugaw,wákal,"thongs of <span class=""wd"">litúku</span> lianas",thongs of _litúku_ lianas,,636-90c05cf44a243e2a3d2d2c6dddad19e6-1
Iban,tuai bilik,"spokesman for a <span class=""wd"">bilik</span> family",spokesman for a _bilik_ family,,276-2523979a97589b04845bbc899f0d6076-1
Ifugaw,káput,"string, rope, liana, thong to tie, fasten, bind one thing to another in order to keep either of the two or both in their right place.  Thus the two posts of a ladder are said to be <span class=""wd"">nikáput</span>, if liana thongs running from one post to another under each of the rungs, prevent dislocation","string, rope, liana, thong to tie, fasten, bind one thing to another in order to keep either of the two or both in their right place. Thus the two posts of a ladder are said to be _nikáput_, if liana thongs running from one post to another under each of the rungs, prevent dislocation",,636-3c3bcfa0ba4db194a81ddf01b0123898-1
Tagalog,íbon,"bird; <span class=""wd"">íbun-an</span> aviary",bird; _íbun-an_ aviary,,423-cd24f3269c91b92eab65d3e53d3addf3-1
Casiguran_Dumagat,kate,"to set the <span class=""wd"">balaybay</span> snare (type of snare with several rattan loops set around a tame rooster, used to catch a wild rooster in the jungle)","to set the _balaybay_ snare (type of snare with several rattan loops set around a tame rooster, used to catch a wild rooster in the jungle)",,569-ef4feabdb3eccc9301f65e86cd474453-1
Fijian,tiŋga,"to throw a stick horizontally from the end of the forefinger; to throw the <span class=""wd"">tiqa</span> in the game of <span class=""wd"">veitiqa</span>",to throw a stick horizontally from the end of the forefinger; to throw the _tiqa_ in the game of _veitiqa_,,266-5ccb2478aaeb8d439b0cebd175dd815b-1
Wolio,bula,"moon; sky; month (as numeral coefficient <span class=""wd"">mbula</span>)",moon; sky; month (as numeral coefficient _mbula_),,1124-90711c8c39d884c5b78fa27d3ba147ba-1
Cebuano,kíyud,"thrust the lower part of the body forward, as male does in sexual intercourse; sexual intercourse (coarse, though not as taboo as <span class=""wd"">iyut</span>)","thrust the lower part of the body forward, as male does in sexual intercourse; sexual intercourse (coarse, though not as taboo as _iyut_)",,252-415f7981a263ed9c2fe582b59ff86270-1
Ifugaw_(Batad),um-aplah,"that with which one sandpapers, i.e., a leaf of an <span class=""wd"">aplah</span> tree","that with which one sandpapers, i.e., a leaf of an _aplah_ tree",,18225-d8d307c63759001759ea70077c536a60-1
Tagalog,búboy,"white silk cotton tree producing stuffing cotton known as <span class=""wd"">kapok</span>",white silk cotton tree producing stuffing cotton known as _kapok_,,423-c97e79089c865ecb40a9da487c07dd6d-1
Tontemboan,t&lt;in&gt;uwa,"what is poisoned with <span class=""wd"">tuwa</span> (name of two rivers in Tontemboan country)",what is poisoned with _tuwa_ (name of two rivers in Tontemboan country),,19052-a42823e9e92728939df832c3dac267cb-1
Bare'e,ri,"locative preposition: at, in, on, to; can be used with pronouns, as in <span class=""wd"">ku-keni ri siko</span> (1sg-bring <span class=""wd"">ri</span> 2sg) ‘I bring it to you’","locative preposition: at, in, on, to; can be used with pronouns, as in _ku-keni ri siko_ (1sg-bring _ri_ 2sg) ‘I bring it to you’",,236-c30217fa1e19786ed7bfcf4b7d400ac2-1
'Āre'āre,susuʔi-a,"pierce, spear, take with a needle; prick of the poisonous <span class=""wd"">nohu</span> [stonefish]","pierce, spear, take with a needle; prick of the poisonous _nohu_ [stonefish]",,18004-fc34b86c7215d3eae0a577e93c62ebef-1
Makassarese,-aŋ,"1. suffix used to form passive nouns: that on which, in which, with which something is done (e.g. <span class=""wd"">doŋkoʔ</span> 'back (anat.)' : <span class=""wd"">doŋkok-aŋ</span> 'carriage', <span class=""wd"">at-taʔgalaʔ</span> 'to hold, keep ahold of' : <span class=""wd"">taʔgall-aŋ</span> 'handle', <span class=""wd"">enteŋ</span> 'stand, stand up' : <span class=""wd"">enteŋ-aŋ</span> 'place where one stands, position'); 2. suffix used to form deverbal adjectives or nouns with a passive sense, and carrying an implication of possibility or desirability; 3. suffix used to form adjectives with the meaning 'afflicted with, suffering from' (e.g. <span class=""wd"">kaluara</span> 'ant' : <span class=""wd"">kaluar-àŋ</span> 'covered with ants', <span class=""wd"">bulalaʔ</span> 'white spot on the cornea' : <span class=""wd"">bulalakk-aŋ</span> 'have a white spot on the cornea'; 4. substitute for the more commonly used <span class=""wd"">-aŋŋaŋ</span>, which expresses the comparative; here also belong indications of place and time in comparison with other place and time indicators; 5. suffix in connection with <span class=""wd"">siapa</span> and <span class=""wd"">piraŋ-</span> 'how much', with the meaning 'how much not'; 6. verbal suffix with the meaning 'do something for the benefit of, do something with something, do something because of something, do something at a certain point in time'","1. suffix used to form passive nouns: that on which, in which, with which something is done (e.g. _doŋkoʔ_ 'back (anat.)' : _doŋkok-aŋ_ 'carriage', _at-taʔgalaʔ_ 'to hold, keep ahold of' : _taʔgall-aŋ_ 'handle', _enteŋ_ 'stand, stand up' : _enteŋ-aŋ_ 'place where one stands, position'); 2. suffix used to form deverbal adjectives or nouns with a passive sense, and carrying an implication of possibility or desirability; 3. suffix used to form adjectives with the meaning 'afflicted with, suffering from' (e.g. _kaluara_ 'ant' : _kaluar-àŋ_ 'covered with ants', _bulalaʔ_ 'white spot on the cornea' : _bulalakk-aŋ_ 'have a white spot on the cornea'; 4. substitute for the more commonly used _-aŋŋaŋ_, which expresses the comparative; here also belong indications of place and time in comparison with other place and time indicators; 5. suffix in connection with _siapa_ and _piraŋ-_ 'how much', with the meaning 'how much not'; 6. verbal suffix with the meaning 'do something for the benefit of, do something with something, do something because of something, do something at a certain point in time'",,325-12a2132cae64a6cfa51dd6f0153b68e8-1
Manam,kulu,"breadfruit, breadfruit tree (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Böhm"">Böhm 1975</a></span>)","breadfruit, breadfruit tree ([Böhm 1975](Source#cldf:bohm1975))",bohm1975,328-5f5d5ba61bc49c0c7c01587b8ee72ec3-1
Ifugaw_(Batad),pitpit,"a short, shrill cry of an omen bird, <span class=""wd"">īdaw</span>; the cry resembles the sound ‘pit, pit, pit’ (this cry does not signal an omen, as do numerous other cries of the omen bird)","a short, shrill cry of an omen bird, _īdaw_; the cry resembles the sound ‘pit, pit, pit’ (this cry does not signal an omen, as do numerous other cries of the omen bird)",,18225-7f7106e493e52e4f948fce78a6e7ad4b-1
Manobo_(Western_Bukidnon),uvi,"yam or <span class=""wd"">ubi</span>, <i>Dioscorea alata</i>","yam or _ubi_, _Dioscorea alata_",,819-0a4c8dd12a27469787bba9595d934dd9-1
Lau,bara,"shelf for firewood crosswise (lengthwise: <span class=""wd"">gwegwela</span>)",shelf for firewood crosswise (lengthwise: _gwegwela_),,313-3cafa953bf3ff7dde1fd844acf8da85a-1
Kankanaey,bugá,"kind of red earth resembling the <span class=""wd"">puá</span>, but less hard","kind of red earth resembling the _puá_, but less hard",,289-212f9595138e123e9cc1cbf8afbebd2d-1
Iban,adoh,"exclamation of pain or surprise, <span class=""wd"">adih</span>; cry to a child to sooth it","exclamation of pain or surprise, _adih_; cry to a child to sooth it",,276-78b0d17e491b90c3b7602be01f791895-1
Melanau_Dalat,ŋaŋa,"mouth of a <span class=""wd"">bubəw</span> (bamboo basket trap for fish)<span class=""brax"">]</span>","mouth of a _bubəw_ (bamboo basket trap for fish)<span class=""brax"">]</span>",,18953-68715bac9bb5422e60c7ae75c8de280f-1
Dairi-Pakpak_Batak,datu,"function among animists (‘<span class=""wd"">orang kafir</span>’) worshipping idols; shaman",function among animists (‘_orang kafir_’) worshipping idols; shaman,,18147-323340c22bc6f5cdcfc66692c7ebaaf0-1
Nggela,mai,"and, with; the pronouns are suffixed with 								<span class=""wd"">mai-a, mai-ra, mai-gi</span>, used clauses","and, with; the pronouns are suffixed with _mai-a, mai-ra, mai-gi_, used clauses",,359-18d1ed700ddf0c5cdc7d1ff47ee31b34-1
Rennellese,ʔota mata,"to eat raw, as <i>Tridacna</i> (<span class=""wd"">haasua</span>), fish, or birds; to eat partially cooked food (fish are not eaten raw; anyone doing so is said to be crazy, or possessed by gods","to eat raw, as _Tridacna_ (_haasua_), fish, or birds; to eat partially cooked food (fish are not eaten raw; anyone doing so is said to be crazy, or possessed by gods",,390-6c84de97c74c9509162a4968a2f2f1dc-1
Karo_Batak,pakan,"the weft thread in weaving (as against the <span class=""wd"">sawen</span>)",the weft thread in weaving (as against the _sawen_),,18314-b1a694aaa4908f2e4ed477940e17a5e9-1
Bahasa_Indonesia,sawaŋ,"plant used to treat <span class=""wd"">kurap</span>: <i>Cordyline fruticosa</i>",plant used to treat _kurap_: _Cordyline fruticosa_,,240-02fcd95027b485da45aa66b90849ab84-1
Roviana,piraha,"sprouting coconut (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Ross"">Ross 2008:375</a></span>)",sprouting coconut ([Ross 2008:375](Source#cldf:rosspawleyandosmond2008)),rosspawleyandosmond2008[375],396-5ebc341b1a38c560e22a1c251127a7c1-1
Itbayaten,ka-,"corresponding one, mate: <span class=""wd"">ka-yvan</span> ‘companion, escort’ (cp. <span class=""wd"">ivan-an</span> ‘to accompany, escort’); <span class=""wd"">ka-kovot</span> ‘spouse’  (cp. <span class=""wd"">mi-chovot</span> ‘to become spouses to one another’)","corresponding one, mate: _ka-yvan_ ‘companion, escort’ (cp. _ivan-an_ ‘to accompany, escort’); _ka-kovot_ ‘spouse’ (cp. _mi-chovot_ ‘to become spouses to one another’)",,282-21615b09d398f378a72ad21f49fd9c75-1
Old_Javanese,wūk nanah,"liquid oozing from corpses or any putrescent matter, pus; always in the combination <span class=""wd"">wūk nanah</span>","liquid oozing from corpses or any putrescent matter, pus; always in the combination _wūk nanah_",,660-c056197df3b20ada64ed749ba194c82c-1
Malay,telu,"three; triple (in certain expressions only, as <span class=""wd"">tiga</span> is the ordinary word for ‘three’)","three; triple (in certain expressions only, as _tiga_ is the ordinary word for ‘three’)",,326-fed3aa489bc3616b426c5a584334843f-1
Javanese,turuh,"leak, drip through (a roof); fade, as colors in the wash (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Pigeaud"">Pigeaud 1938</a></span>)","leak, drip through (a roof); fade, as colors in the wash ([Pigeaud 1938](Source#cldf:pigeaud1938))",pigeaud1938,285-720831bc1ee9cd41aa52c35c0fbb9fbc-1
Mota,tura,"a leg, prop, as of a <span class=""wd"">qea</span> platform (storage platform on piles)","a leg, prop, as of a _qea_ platform (storage platform on piles)",,344-98ea1de7bf0ac4222543da61c1706fb9-1
Isneg,amsí,"the nightshade, <i>Solanum nigrum</i> L.  Its young leaves are used for vegetables; eating these cooked young leaves cures the <span class=""wd"">it-itól</span> disease of the eyes","the nightshade, _Solanum nigrum_ L. Its young leaves are used for vegetables; eating these cooked young leaves cures the _it-itól_ disease of the eyes",,647-a4a7a6c96274299de84e0e24d0396459-1
Malay,barah,"abscess (different from <span class=""wd"">bisul</span> 'external boil')",abscess (different from _bisul_ 'external boil'),,326-2637391b6f9c334ee6b4e03af2bc4f53-1
Mota,aru,"the casuarina tree, which has a sacred character; hence <span class=""wd"">tano aruaru</span> 'a sacred place with <span class=""wd"">aru</span> trees'","the casuarina tree, which has a sacred character; hence _tano aruaru_ 'a sacred place with _aru_ trees'",,344-411f2b04adfa36e89757ffa11029afa9-1
Hanunóo,ká,"you (singular); occurs mainly in certain set phrases; in all of them, however, <span class=""wd"">ká</span> may be replaced by the more frequently used <span class=""wd"">káwu</span>","you (singular); occurs mainly in certain set phrases; in all of them, however, _ká_ may be replaced by the more frequently used _káwu_",,273-898dbdf60b80a57c71a63eb51efbfffe-1
Rotuman,mamfua,"plural of <span class=""wd"">mafua</span>",plural of _mafua_,,394-8decd5c7751446c25948b2f64e1a1924-1
Malay,tarum,"indigo plant (indigo dye is <span class=""wd"">nila</span>); usually <i>Indigofera tinctoria</i>, the Indian indigo plant; native <span class=""wd"">nila</span> is made by cutting up <span class=""wd"">tarum</span> leaves, steeping them in water, and finally boiling them with lime or chalk; dark-colored (as the skin or fur of various animals)","indigo plant (indigo dye is _nila_); usually _Indigofera tinctoria_, the Indian indigo plant; native _nila_ is made by cutting up _tarum_ leaves, steeping them in water, and finally boiling them with lime or chalk; dark-colored (as the skin or fur of various animals)",,326-bd5b49014bef000b2cdb0db18e8d91c5-1
Mota,tas,"sea, saltwater; the name of the lake at Gaua, so called because the water of it is not <span class=""wd"">pei</span>, simple water, but <span class=""wd"">tas</span>, brackish","sea, saltwater; the name of the lake at Gaua, so called because the water of it is not _pei_, simple water, but _tas_, brackish",,344-afc99f3a5a25b7c8239be12c83f70b4f-1
Roviana,na,"the (<span class=""wd"">na vetu</span> ‘the house’)",the (_na vetu_ ‘the house’),,396-3fab98e5b4c0fdeb32e375832ec90a09-1
Balinese,kapuk,"the fibers of the seeds of the <span class=""wd"">kutuh</span>, called by us ‘kapok’","the fibers of the seeds of the _kutuh_, called by us ‘kapok’",,235-d5cdc07a7f5a06a13693b09f74953e85-1
Malay,seperti sulur bakoŋ,"'like the curve of the <span class=""wd"">bakoŋ</span>', as a simile for suppliant hands","'like the curve of the _bakoŋ_', as a simile for suppliant hands",,326-78623db2260c9c06369f4327aae53454-1
Wetan,tuni,"burn, roast, often combined with <span class=""wd"">naja</span>, to cook: <span class=""wd"">ra-tuni ra-naja</span> they roasted and cooked, they prepared food","burn, roast, often combined with _naja_, to cook: _ra-tuni ra-naja_ they roasted and cooked, they prepared food",,1118-d82aa16d65ec3f0691906ecbbf6f4e7e-1
Tagalog,úbod,"shoot of plants, palms, etc., as in <span class=""wd"">ubod ng niyog</span> shoot of coconut tree; core, the very center; the innermost or utter depths","shoot of plants, palms, etc., as in _ubod ng niyog_ shoot of coconut tree; core, the very center; the innermost or utter depths",,423-e3243d14a3dce4112e7f6b4b61e56081-1
Murut_(Timugon),-on,"object focus; also used in imperatives; e.g. <span class=""wd"">Kubayaw-on i Kasuab ru lalaiŋ-rati</span> The children will make friends with Kasuab (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Prentice"">Prentice 1971:47</a></span>); <span class=""wd"">Alap-on (mu) laŋgut-no</span> (You) take the coconut shell (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Prentice"">Prentice 1971:40</a></span>)",object focus; also used in imperatives; e.g. _Kubayaw-on i Kasuab ru lalaiŋ-rati_ The children will make friends with Kasuab ([Prentice 1971:47](Source#cldf:prentice1971)); _Alap-on (mu) laŋgut-no_ (You) take the coconut shell ([Prentice 1971:40](Source#cldf:prentice1971)),prentice1971[47] prentice1971[40],1067-eba02f33d3c6d87e8e9bc49fdac946ab-1
Ifugaw,túba,"the green fruit of the liana also called <span class=""wd"">tuba</span>: <i>Jatropha curcas</i> L. (<i>Euph</i>.); <span class=""wd"">tuba</span> fruits are used to envenom (more or less) fishes ... so that they may be easily caught",the green fruit of the liana also called _tuba_: _Jatropha curcas_ L. (_Euph_.); _tuba_ fruits are used to envenom (more or less) fishes ... so that they may be easily caught,,636-913e4d3d6589d3b9ba3a2a9ac41f8ca0-1
